epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4421,1.72116,2.97495,1.8136,0.42877,0.38984,0.37759,0.16027,1.71536,2.31268,1.7945,0.00033033,0.00033033,0.00033033
2,130.96,1.60212,2.19146,1.69144,0.68424,0.52554,0.56097,0.23023,1.8125,2.09167,1.90486,0.000641763,0.000641763,0.000641763
3,160.1,1.61116,2.09594,1.6897,0.47014,0.56403,0.53006,0.23791,1.94653,1.85967,2.01198,0.000931195,0.000931195,0.000931195
4,188,1.57957,2.01726,1.67743,0.78745,0.37007,0.43222,0.18618,1.98273,2.76726,2.19124,0.000901,0.000901,0.000901
5,217.056,1.53046,1.86676,1.63476,0.40677,0.7264,0.61148,0.28379,1.73994,1.59717,1.80834,0.000868,0.000868,0.000868
6,245.717,1.52007,1.80638,1.61637,0.41482,0.64467,0.56679,0.30777,1.63984,1.59452,1.62529,0.000835,0.000835,0.000835
7,273.613,1.50178,1.73756,1.60109,0.5139,0.68591,0.54325,0.31051,1.65862,1.5566,1.71536,0.000802,0.000802,0.000802
8,301.36,1.49777,1.67826,1.57658,0.60119,0.69769,0.69614,0.36811,1.47653,1.44354,1.57624,0.000769,0.000769,0.000769
9,328.735,1.46885,1.64748,1.57936,0.77572,0.6391,0.64784,0.39566,1.46512,1.31149,1.57782,0.000736,0.000736,0.000736
10,356.106,1.45417,1.58728,1.56846,0.68841,0.65518,0.69116,0.39442,1.51371,1.4438,1.62177,0.000703,0.000703,0.000703
11,383.763,1.47638,1.60572,1.57051,0.65884,0.74075,0.76905,0.38068,1.53315,1.35821,1.61741,0.00067,0.00067,0.00067
12,411.359,1.43377,1.54839,1.53898,0.63548,0.71972,0.73248,0.36552,1.48653,1.37925,1.57693,0.000637,0.000637,0.000637
13,438.886,1.40459,1.52416,1.5304,0.64238,0.68593,0.699,0.38855,1.47605,1.33402,1.54439,0.000604,0.000604,0.000604
14,466.433,1.37282,1.45804,1.51261,0.67055,0.69686,0.70873,0.38283,1.59014,1.23342,1.68187,0.000571,0.000571,0.000571
15,494.084,1.38702,1.42655,1.50624,0.60189,0.65639,0.6431,0.38044,1.49781,1.37566,1.60369,0.000538,0.000538,0.000538
16,522.58,1.40262,1.46345,1.53212,0.65412,0.72526,0.71966,0.39172,1.52931,1.24673,1.64949,0.000505,0.000505,0.000505
17,550.664,1.36357,1.42917,1.51416,0.59383,0.80534,0.72898,0.42509,1.4903,1.24928,1.64565,0.000472,0.000472,0.000472
18,578.395,1.34787,1.40154,1.50024,0.59764,0.7193,0.66528,0.36782,1.53691,1.30962,1.63529,0.000439,0.000439,0.000439
19,606.812,1.36031,1.39515,1.50558,0.81399,0.67897,0.69144,0.38855,1.43553,1.33065,1.52367,0.000406,0.000406,0.000406
20,635.332,1.3397,1.35197,1.48647,0.71666,0.78545,0.7903,0.43314,1.40767,1.16135,1.51922,0.000373,0.000373,0.000373
21,661.064,1.40771,1.41035,1.58062,0.84687,0.63567,0.7073,0.41505,1.38837,1.24973,1.49984,0.00034,0.00034,0.00034
22,686.395,1.35712,1.31164,1.54865,0.57519,0.74191,0.72278,0.43009,1.42617,1.23378,1.53371,0.000307,0.000307,0.000307
23,711.877,1.33363,1.28479,1.53108,0.74524,0.75095,0.77435,0.44039,1.40032,1.14263,1.52356,0.000274,0.000274,0.000274
24,737.462,1.32675,1.2795,1.52901,0.62314,0.72189,0.77513,0.47258,1.34184,1.1387,1.44994,0.000241,0.000241,0.000241
25,763.133,1.31525,1.2248,1.51615,0.66255,0.70126,0.76452,0.43662,1.48454,1.17408,1.57146,0.000208,0.000208,0.000208
26,788.638,1.29367,1.22594,1.50137,0.619,0.7623,0.78219,0.47492,1.43427,1.0907,1.55476,0.000175,0.000175,0.000175
27,814.204,1.27397,1.20253,1.4881,0.68276,0.80552,0.81958,0.51554,1.31717,1.05916,1.46262,0.000142,0.000142,0.000142
28,839.677,1.26529,1.17885,1.48537,0.64579,0.72295,0.73153,0.45746,1.36857,1.11049,1.50545,0.000109,0.000109,0.000109
29,865.199,1.25182,1.15946,1.46901,0.69598,0.686,0.7606,0.4568,1.40772,1.13585,1.53165,7.6e-05,7.6e-05,7.6e-05
30,890.454,1.23897,1.14415,1.46886,0.62717,0.7525,0.78113,0.4607,1.40636,1.07097,1.52203,4.3e-05,4.3e-05,4.3e-05
